repo_full_name,id,number,state,merged,created_at,closed_at,merged_at,review_time_h,changed_files,additions,deletions,body_length,participants_count,reviews_count,issue_comments_count,inline_review_comments_count
freeCodeCamp/freeCodeCamp,2902023148,62654,closed,True,2025-10-09 21:08:58+00:00,2025-10-09 23:03:57+00:00,2025-10-09 23:03:57+00:00,1.916388888888889,1,29,4,761,3,3,0,3
freeCodeCamp/freeCodeCamp,2901983025,62651,closed,True,2025-10-09 20:49:14+00:00,2025-10-09 21:59:26+00:00,2025-10-09 21:59:26+00:00,1.17,1,31,2,761,3,2,0,0
freeCodeCamp/freeCodeCamp,2901818222,62648,closed,True,2025-10-09 19:37:26+00:00,2025-10-09 21:58:52+00:00,2025-10-09 21:58:52+00:00,2.357222222222222,1,42,13,774,4,2,1,0
freeCodeCamp/freeCodeCamp,2901814502,62647,closed,True,2025-10-09 19:35:34+00:00,2025-10-09 21:58:13+00:00,2025-10-09 21:58:13+00:00,2.3775,1,8,4,761,3,2,0,0
freeCodeCamp/freeCodeCamp,2901811008,62646,closed,True,2025-10-09 19:33:48+00:00,2025-10-09 21:57:38+00:00,2025-10-09 21:57:38+00:00,2.397222222222222,1,34,10,761,3,3,0,1
freeCodeCamp/freeCodeCamp,2901423284,62639,closed,True,2025-10-09 17:01:21+00:00,2025-10-09 20:55:24+00:00,2025-10-09 20:55:24+00:00,3.9008333333333334,1,76,11,761,3,2,0,0
freeCodeCamp/freeCodeCamp,2900770253,62634,closed,True,2025-10-09 13:32:26+00:00,2025-10-09 16:36:19+00:00,2025-10-09 16:36:19+00:00,3.064722222222222,1,26,15,761,2,1,1,0
freeCodeCamp/freeCodeCamp,2900751860,62633,closed,True,2025-10-09 13:27:51+00:00,2025-10-09 15:12:48+00:00,2025-10-09 15:12:48+00:00,1.7491666666666668,1,1,1,850,3,2,0,0
freeCodeCamp/freeCodeCamp,2900691885,62630,closed,True,2025-10-09 13:10:30+00:00,2025-10-09 16:36:12+00:00,2025-10-09 16:36:12+00:00,3.4283333333333332,1,51,7,761,2,1,0,0
freeCodeCamp/freeCodeCamp,2900564864,62627,closed,True,2025-10-09 12:31:41+00:00,2025-10-09 16:35:55+00:00,2025-10-09 16:35:55+00:00,4.070555555555556,1,47,11,761,2,1,0,0
freeCodeCamp/freeCodeCamp,2899873916,62622,closed,True,2025-10-09 08:42:06+00:00,2025-10-09 10:42:09+00:00,2025-10-09 10:42:09+00:00,2.0008333333333335,2,8,6,1061,3,2,0,0
freeCodeCamp/freeCodeCamp,2899013149,62616,closed,True,2025-10-08 23:49:18+00:00,2025-10-09 10:35:59+00:00,2025-10-09 10:35:59+00:00,10.778055555555556,5,5,5,977,3,3,0,4
freeCodeCamp/freeCodeCamp,2898981638,62615,closed,True,2025-10-08 23:22:28+00:00,2025-10-09 10:54:10+00:00,2025-10-09 10:54:10+00:00,11.528333333333334,12,28,26,761,3,4,0,29
freeCodeCamp/freeCodeCamp,2898907957,62614,closed,False,2025-10-08 22:35:32+00:00,2025-10-09 17:55:09+00:00,,19.326944444444443,5,70,62,748,3,4,3,5
